Bivictrix Thera ,BVX,	33.50	1,314,602	6.35%	31.50	33.50	8
Bioventix ,BVXP,	3,200.00	4,416	-1.54%	3,200.00	3,200.00	17
Brown Group ,BWNG,	40.60	530,299	-0.98%	40.02	42.04	149
Byotrol ,BYOT,	4.55	75,177	1.11%	4.50	4.55	9
Bezant Res ,BZT,	0.15	25,276,098	3.45%	0.145	0.15	44
C4x Discry Hdgs ,C4XD,	44.00	10,204	-1.12%	44.00	44.00	5
Cloudcall Grp ,CALL,	79.50	844	0.00%	79.50	79.50	1
Camellia ,CAM,	6,900.00	684	2.22%	6,800.00	6,900.00	9
Central Asia ,CAML,	235.00	371,106	-1.05%	234.50	240.00	382
Caspian Sunrise ,CASP,	4.325	1,731,706	-1.70%	4.325	4.40	11
Cake Box Holdi. ,CBOX,	357.00	148,625	2.00%	352.00	357.00	18
Curtis Bks ,CBP,	266.00	20,075	1.14%	0.00	0.00	10
Crossword Cybersecurity ,CCS,	36.00	10	0.00%	36.00	36.00	1
Character ,CCT,	620.00	789	-1.20%	620.00	620.00	4
Challenger En ,CEG,	0.625	465,542	0.00%	0.625	0.625	12
Cerillion ,CER,	915.00	15,545	0.00%	900.00	900.00	20
Chaarat Gold ,CGH,	19.00	10,050	-1.71%	19.00	19.00	2
Conroy Gld&nres ,CGNR,	28.50	109,432	0.00%	28.50	28.50	11
Chariot Ltd ,CHAR,	12.00	30,816,230	10.85%	10.80	12.70	690
Churchill China ,CHH,	1,697.50	1,690	-0.73%	1,697.50	1,710.00	4
Cohort ,CHRT,	516.00	9,349	0.40%	516.00	518.00	16
Conygar Inv ,CIC,	168.00	7,966	0.60%	167.00	168.00	4
Cip Merchant ,CIP,	51.00	56,857	-2.86%	51.00	51.00	4
Circassia ,CIR,	44.30	3,735,181	-3.80%	44.30	48.55	182
Checkit ,CKT,	51.50	29,187	0.00%	51.50	51.50	5
Cloudcoco ,CLCO,	1.70	252,714	0.00%	1.70	1.70	7
Clinigen ,CLIN,	909.00	2,303,980	-0.66%	904.00	915.00	557
Clontarf ,CLON,	0.245	10,569,918	4.26%	0.235	0.245	14
Calnex Solutio. ,CLX,	120.00	62,198	-0.83%	120.00	121.00	19
Cambria Africa ,CMB,	0.28	40,000	0.00%	0.28	0.28	1
Caledonia Min ,CMCL,	925.00	5,544	1.09%	915.00	925.00	5
Capital Metals ,CMET,	9.50	69,213	-1.04%	9.50	9.60	5
Chamberlin & Hill ,CMH,	7.75	312,897	0.00%	7.55	7.75	5
CML Microcircuits ,CML,	420.00	2,094	2.44%	420.00	420.00	3
Cmo Group ,CMO,	167.50	2,217	-1.47%	167.50	170.00	2
Concurrent Technologies ,CNC,	88.00	93,038	0.57%	87.50	89.00	17
China Nonferr ,CNG,	8.10	342	0.88%	8.10	8.10	3
Centralnic ,CNIC,	133.00	211,789	0.38%	129.00	137.00	96
Cenkos Sec ,CNKS,	81.00	83,480	-0.61%	81.00	81.50	4
Condor Gold ,CNR,	33.00	231,758	4.76%	31.50	33.50	23
Corero Network ,CNS,	11.35	321,415	0.00%	11.35	11.35	4
Northcoders Grp ,CODE,	247.00	0	0.00%	247.00	247.00	0
Cambridge Cog ,COG,	130.00	4,927	-1.89%	130.00	132.50	6
Comptoir Grp ,COM,	5.18	25,000	0.00%	5.18	5.18	1
Cora Gold ,CORA,	8.85	217,785	-2.75%	8.75	9.10	9
Coro Energy ,CORO,	0.285	2,516,090	-8.06%	0.285	0.31	14
City Pub Group. ,CPC,	108.00	113,031	0.00%	106.00	108.00	71
Cppgroup ,CPP,	365.00	2,000	-0.27%	0.00	0.00	1
